iterations,q_table
500,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
1000,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
1500,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
2000,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
2500,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
3000,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
3500,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
4000,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
4500,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
5000,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
5500,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
6000,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
6500,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
7000,"[[4.46669457e-03 5.15736482e-03 3.47866864e-02 3.06929253e-02]
 [1.66394930e-03 6.36613503e-04 1.44110027e-03 1.57270978e-02]
 [6.90205591e-01 4.77594349e-03 1.27014650e-03 6.67281764e-03]
 [8.70920700e-04 2.01409556e-03 5.22804765e-04 7.94865824e-02]
 [8.72393627e-02 1.91080428e-03 6.17645510e-04 3.56025967e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.57770033e-07 1.25327095e-07 8.05331030e-01 1.12039564e-12]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.38552824e-03 7.40405705e-04 3.34773193e-03 4.93856568e-01]
 [7.37311136e-04 8.06267291e-01 1.42676509e-05 1.71474599e-03]
 [3.46213236e-05 7.72861071e-01 1.03354651e-04 5.91496856e-06]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.29936380e-02 5.65492065e-06 9.31626725e-01 3.12819669e-02]
 [1.88150206e-01 9.99999096e-01 1.53987858e-01 5.18779483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
