iterations,values
500,[0.63233235 0.68047003 0.65251011 0.22559403 0.21397701 0. 0.68773237 0.         0.22961483 0.24202701 0.5420001  0. 0.         0.68630597 0.70963768 0.        ]
1000,[0.57028331 0.52058393 0.28287091 0.23407533 0.56204855 0. 0.6164105  0.         0.73243462 0.87596677 0.83197384 0. 0.         0.93877345 0.90155    0.        ]
1500,[0.29159588 0.28132121 0.32387626 0.28224663 0.33395071 0. 0.34176413 0.         0.38499237 0.3750411  0.64864566 0. 0.         0.4661718  0.65944246 0.        ]
2000,[0.5956737  0.63653949 0.67876462 0.71287515 0.51396949 0. 0.50761403 0.         0.52576668 0.44974132 0.57422319 0. 0.         0.46725557 0.99424956 0.        ]
2500,[0.46233577 0.58492114 0.64834892 0.18826436 0.55110398 0. 0.60954845 0.         0.68485406 0.76971616 0.80169945 0. 0.         0.81080685 0.80011534 0.        ]
3000,[0.27904149 0.17980628 0.2678482  0.1656861  0.26758786 0. 0.76862592 0.         0.36248153 0.76429033 0.80217853 0. 0.         0.63423352 0.99468765 0.        ]
3500,[0.3955868  0.36174521 0.19007824 0.36300929 0.38797826 0. 0.53608355 0.         0.35333672 0.73543145 0.62015713 0. 0.         0.6130103  0.98677309 0.        ]
4000,[0.54469508 0.08878524 0.55283059 0.07351214 0.49818825 0. 0.52933017 0.         0.60022316 0.65984592 0.90588561 0. 0.         0.66675315 0.99387679 0.        ]
4500,[0.18452917 0.16490837 0.17007191 0.16072599 0.30465918 0. 0.00230262 0.         0.39469237 0.41823448 0.73767407 0. 0.         0.36656749 0.98225293 0.        ]
5000,[0.31490286 0.26776575 0.30455028 0.18607735 0.51433235 0. 0.28549903 0.         0.66097104 0.59105446 0.33587558 0. 0.         0.82375893 0.68098871 0.        ]
5500,[0.28942343 0.26149019 0.11860965 0.11077954 0.35644259 0. 0.04232862 0.         0.33178517 0.60440386 0.68400682 0. 0.         0.60259867 0.96812191 0.        ]
6000,[0.42371779 0.16034223 0.05252339 0.05228892 0.49180631 0. 0.01610398 0.         0.55334972 0.15593666 0.01877564 0. 0.         0.64504456 0.96840722 0.        ]
