iterations,policies
500,[1. 2. 2. 3. 0. 0. 2. 0. 3. 0. 0. 0. 0. 0. 2. 0.]
1000,[2. 0. 0. 3. 2. 0. 0. 0. 1. 1. 1. 0. 0. 3. 0. 0.]
1500,[3. 3. 2. 3. 0. 0. 2. 0. 1. 2. 0. 0. 0. 2. 1. 0.]
2000,[3. 1. 3. 3. 3. 0. 2. 0. 3. 2. 0. 0. 0. 3. 3. 0.]
2500,[1. 3. 3. 3. 0. 0. 3. 0. 3. 1. 2. 0. 0. 2. 1. 0.]
3000,[1. 3. 2. 3. 0. 0. 0. 0. 3. 2. 0. 0. 0. 1. 1. 0.]
3500,[3. 1. 0. 3. 0. 0. 2. 0. 3. 1. 1. 0. 0. 2. 2. 0.]
4000,[0. 3. 3. 3. 2. 0. 0. 0. 2. 1. 0. 0. 0. 0. 1. 0.]
4500,[2. 2. 2. 0. 0. 0. 1. 0. 1. 2. 3. 0. 0. 0. 2. 0.]
5000,[0. 0. 3. 3. 2. 0. 2. 0. 3. 1. 0. 0. 0. 3. 3. 0.]
5500,[0. 3. 0. 1. 0. 0. 0. 0. 3. 1. 3. 0. 0. 2. 2. 0.]
6000,[0. 3. 2. 3. 0. 0. 0. 0. 1. 0. 0. 0. 0. 2. 2. 0.]
6500,[1. 1. 1. 3. 2. 0. 0. 0. 3. 1. 0. 0. 0. 3. 3. 0.]
7000,[1. 3. 0. 3. 0. 0. 1. 0. 3. 1. 0. 0. 0. 3. 2. 0.]
7500,[1. 3. 2. 3. 3. 0. 2. 0. 2. 1. 0. 0. 0. 2. 3. 0.]
8000,[0. 0. 0. 0. 1. 0. 2. 0. 3. 1. 0. 0. 0. 3. 1. 0.]
8500,[2. 3. 2. 3. 0. 0. 0. 0. 3. 2. 2. 0. 0. 2. 0. 0.]
9000,[0. 3. 3. 3. 1. 0. 0. 0. 2. 0. 1. 0. 0. 1. 2. 0.]
9500,[0. 0. 0. 0. 1. 0. 0. 0. 3. 2. 0. 0. 0. 2. 0. 0.]
10000,[1. 3. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
10500,[2. 3. 1. 3. 2. 0. 2. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
11000,[3. 3. 3. 0. 0. 0. 1. 0. 3. 1. 1. 0. 0. 2. 3. 0.]
11500,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 0. 0. 0. 2. 2. 0.]
12000,[0. 2. 0. 3. 0. 0. 3. 0. 3. 3. 0. 0. 0. 2. 1. 0.]
12500,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 3. 0. 0. 0. 1. 0.]
13000,[1. 3. 0. 3. 0. 0. 1. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
13500,[2. 1. 3. 2. 0. 0. 0. 0. 3. 1. 0. 0. 0. 3. 2. 0.]
14000,[2. 2. 0. 3. 0. 0. 1. 0. 0. 1. 0. 0. 0. 2. 1. 0.]
14500,[2. 0. 3. 0. 1. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
15000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
15500,[0. 3. 2. 3. 1. 0. 0. 0. 3. 1. 0. 0. 0. 3. 1. 0.]
16000,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 3. 1. 0.]
16500,[1. 0. 1. 0. 2. 0. 2. 0. 3. 3. 0. 0. 0. 2. 2. 0.]
17000,[0. 3. 0. 2. 0. 0. 3. 0. 3. 1. 1. 0. 0. 3. 1. 0.]
17500,[1. 3. 1. 3. 0. 0. 2. 0. 3. 1. 2. 0. 0. 1. 1. 0.]
18000,[3. 2. 0. 1. 3. 0. 0. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
18500,[0. 3. 0. 3. 0. 0. 2. 0. 1. 1. 1. 0. 0. 2. 2. 0.]
19000,[0. 1. 1. 3. 0. 0. 1. 0. 3. 2. 1. 0. 0. 2. 2. 0.]
19500,[1. 2. 3. 3. 0. 0. 2. 0. 1. 2. 0. 0. 0. 2. 2. 0.]
20000,[2. 0. 2. 2. 0. 0. 3. 0. 2. 2. 0. 0. 0. 2. 3. 0.]
20500,[1. 3. 3. 0. 1. 0. 0. 0. 2. 0. 2. 0. 0. 2. 3. 0.]
21000,[2. 0. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 0. 0.]
21500,[1. 2. 0. 3. 0. 0. 2. 0. 1. 1. 0. 0. 0. 2. 2. 0.]
22000,[0. 2. 1. 1. 0. 0. 3. 0. 3. 1. 2. 0. 0. 2. 1. 0.]
22500,[1. 1. 1. 3. 2. 0. 0. 0. 3. 2. 1. 0. 0. 0. 1. 0.]
23000,[0. 3. 2. 3. 2. 0. 2. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
23500,[3. 3. 0. 0. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
24000,[1. 3. 3. 3. 0. 0. 3. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
24500,[1. 3. 0. 3. 0. 0. 2. 0. 3. 2. 0. 0. 0. 2. 1. 0.]
25000,[3. 3. 3. 3. 1. 0. 2. 0. 2. 1. 0. 0. 0. 2. 3. 0.]
25500,[2. 3. 3. 3. 0. 0. 0. 0. 1. 2. 0. 0. 0. 2. 2. 0.]
26000,[0. 0. 1. 3. 0. 0. 0. 0. 1. 1. 0. 0. 0. 2. 3. 0.]
26500,[2. 3. 1. 3. 0. 0. 2. 0. 3. 0. 0. 0. 0. 2. 3. 0.]
27000,[3. 3. 1. 3. 0. 0. 1. 0. 0. 3. 2. 0. 0. 2. 1. 0.]
27500,[1. 2. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 0.]
28000,[1. 3. 1. 3. 1. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
28500,[2. 3. 3. 3. 0. 0. 0. 0. 2. 1. 1. 0. 0. 3. 1. 0.]
29000,[0. 3. 0. 3. 0. 0. 2. 0. 3. 0. 0. 0. 0. 3. 3. 0.]
29500,[3. 2. 2. 3. 2. 0. 0. 0. 2. 1. 0. 0. 0. 2. 3. 0.]
30000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 2. 0. 0.]
30500,[3. 3. 3. 3. 0. 0. 2. 0. 3. 2. 0. 0. 0. 2. 1. 0.]
31000,[0. 3. 2. 3. 0. 0. 3. 0. 2. 1. 3. 0. 0. 2. 1. 0.]
31500,[3. 3. 0. 3. 2. 0. 2. 0. 3. 1. 0. 0. 0. 3. 3. 0.]
32000,[0. 3. 2. 3. 0. 0. 1. 0. 3. 0. 0. 0. 0. 1. 2. 0.]
32500,[0. 0. 2. 3. 0. 0. 2. 0. 3. 2. 3. 0. 0. 1. 2. 0.]
33000,[0. 3. 2. 3. 1. 0. 0. 0. 3. 1. 1. 0. 0. 2. 3. 0.]
33500,[1. 3. 3. 3. 2. 0. 1. 0. 3. 1. 2. 0. 0. 1. 2. 0.]
34000,[2. 1. 2. 3. 0. 0. 2. 0. 3. 2. 3. 0. 0. 2. 1. 0.]
34500,[0. 0. 1. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 2. 3. 0.]
35000,[2. 3. 1. 0. 3. 0. 0. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
35500,[0. 3. 1. 0. 3. 0. 2. 0. 3. 1. 0. 0. 0. 3. 1. 0.]
36000,[0. 3. 0. 3. 3. 0. 0. 0. 3. 0. 0. 0. 0. 2. 3. 0.]
36500,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
37000,[1. 3. 1. 1. 0. 0. 0. 0. 3. 0. 0. 0. 0. 3. 1. 0.]
37500,[0. 3. 3. 1. 1. 0. 1. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
38000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 1. 1. 0.]
38500,[0. 3. 1. 3. 0. 0. 2. 0. 2. 1. 0. 0. 0. 2. 3. 0.]
39000,[1. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
39500,[1. 3. 2. 3. 0. 0. 0. 0. 2. 1. 0. 0. 0. 2. 0. 0.]
40000,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 1. 0. 0. 2. 2. 0.]
40017,[0. 3. 0. 3. 0. 0. 0. 0. 3. 3. 0. 0. 0. 2. 2. 0.]
