iterations,values
500,[0.37897268 0.2052939  0.27949491 0.23251475 0.36926688 0. 0.2225791  0.         0.44706083 0.50898773 0.39054346 0. 0.         0.48345593 0.9858866  0.        ]
1000,[1.86005826e-02 1.78786043e-02 1.58826658e-02 4.06071042e-03 6.47568961e-03 0.00000000e+00 8.07845998e-03 0.00000000e+00 3.71189187e-03 4.96456843e-01 2.26428261e-04 0.00000000e+00 0.00000000e+00 8.15092647e-01 9.88543496e-01 0.00000000e+00]
1500,[0.06980196 0.06826386 0.04528178 0.03965354 0.19514337 0. 0.01081246 0.         0.37189126 0.75236221 0.17588233 0. 0.         0.46504073 0.94845367 0.        ]
2000,[0.28043949 0.16654821 0.05466553 0.01762677 0.49425658 0. 0.02366226 0.         0.57655381 0.17804757 0.7662667  0. 0.         0.76918415 0.98933333 0.        ]
2500,[0.0425233  0.0321643  0.01116584 0.00689378 0.35027996 0. 0.03075416 0.         0.32813193 0.26116107 0.79887112 0. 0.         0.1239246  0.99302427 0.        ]
3000,[0.13198927 0.03911746 0.01379264 0.00766868 0.2829323  0. 0.07452054 0.         0.44669689 0.46540763 0.68588023 0. 0.         0.83348463 0.99994944 0.        ]
3500,[0.12253687 0.01508253 0.013196   0.01041989 0.4092908  0. 0.00829497 0.         0.25574925 0.37313108 0.11167097 0. 0.         0.43669164 0.94566951 0.        ]
4000,[0.10296959 0.0879298  0.08055247 0.03137497 0.09967464 0. 0.01755623 0.         0.18124417 0.46396391 0.08037924 0. 0.         0.91632477 0.15179778 0.        ]
4500,[0.26551652 0.00934387 0.06654374 0.00487739 0.35960725 0. 0.11246346 0.         0.43167166 0.51407302 0.59684348 0. 0.         0.78602664 0.98573637 0.        ]
5000,[8.38086193e-02 3.66734351e-01 2.39561633e-03 1.11663931e-03 1.01279428e-01 0.00000000e+00 7.20922947e-06 0.00000000e+00 3.73169821e-01 6.29062086e-01 6.56225758e-02 0.00000000e+00 0.00000000e+00 6.42604766e-01 9.04826781e-01 0.00000000e+00]
5500,[0.46823631 0.10556743 0.04734142 0.00914871 0.15213716 0. 0.02052599 0.         0.49456995 0.55289236 0.84052945 0. 0.         0.76622041 0.98287377 0.        ]
6000,[0.15865366 0.17703588 0.17681488 0.00304041 0.30108513 0. 0.00265238 0.         0.35288542 0.11186167 0.84570134 0. 0.         0.62947445 0.96585082 0.        ]
6500,[0.15834172 0.05338429 0.0108069  0.01559326 0.19374295 0. 0.005782   0.         0.16772777 0.47232166 0.48161856 0. 0.         0.08666938 0.83230901 0.        ]
7000,[0.24113839 0.05673377 0.03086383 0.00581129 0.17472291 0. 0.00956005 0.         0.43990636 0.64301103 0.01157722 0. 0.         0.89771749 0.9972415  0.        ]
7500,[0.46891387 0.06472293 0.01634585 0.01129686 0.4634457  0. 0.01240307 0.         0.23327257 0.66175386 0.0287524  0. 0.         0.83700602 0.98929217 0.        ]
8000,[0.46382375 0.43144141 0.29061206 0.00827484 0.2854779  0. 0.11805981 0.         0.06829467 0.08019578 0.8649929  0. 0.         0.91068426 0.99973569 0.        ]
